time,acceleration_x,acceleration_y,acceleration_z
10015,1.023,1.1,2.41
10045,1.016,1.097,0.748
10074,1.019,1.1,0.413
10103,1.019,1.097,1.732
10132,1.019,1.103,2.406
10162,1.019,1.1,0.574
10190,1.019,1.097,0.403
10219,1.019,1.103,2.142
10249,1.019,1.103,2.426
10277,1.019,1.1,0.461
10307,1.016,1.097,0.413
10336,1.023,1.097,2.345
10365,1.026,1.103,2.403
10394,1.023,1.103,0.435
10424,1.013,1.097,0.406
10452,1.016,1.1,2.365
10481,1.023,1.103,2.41
10511,1.019,1.097,0.432
10540,1.019,1.097,0.384
10569,1.023,1.1,2.365
10598,1.016,1.103,2.41
10628,1.016,1.1,0.429
10656,1.019,1.1,0.384
10685,1.026,1.106,2.377
10715,1.026,1.113,2.429
10743,1.048,1.11,0.432
10773,1.055,1.135,0.39
10802,1.055,1.158,2.394
10831,1.061,1.152,2.442
10860,1.052,1.142,0.455
10890,1.048,1.158,0.416
10918,1.055,1.145,2.4
10947,1.061,1.135,1.774
10977,1.055,1.148,0.458
11005,1.055,1.174,0.577
11035,1.052,1.187,2.41
11064,1.055,1.181,2.077
11094,1.048,1.168,0.461
11122,1.058,1.158,0.858
11151,1.068,1.158,2.435
11181,1.052,1.19,1.858
11209,1.052,1.181,0.458
11239,1.052,1.174,0.474
11268,1.052,1.171,2.432
11297,1.052,1.152,1.229
11326,1.061,1.145,0.442
11356,1.055,1.158,0.823
11384,1.058,1.158,2.406
11413,1.052,1.155,0.942
11443,1.052,1.161,0.448
11471,1.058,1.139,1.145
11501,1.065,1.129,2.416
11530,1.058,1.126,0.842
11559,1.055,1.135,0.435
11588,1.055,1.142,1.255
11617,1.058,1.148,2.429
11646,1.055,1.145,0.884
11675,1.055,1.139,0.432
11705,1.058,1.135,1.574
11734,1.065,1.135,2.429
11763,1.055,1.135,0.626
11792,1.048,1.155,0.419
11822,1.055,1.165,2.19
11850,1.055,1.161,2.435
11879,1.052,1.165,0.497
11909,1.055,1.152,0.435
11937,1.058,1.152,2.371
11967,1.061,1.165,2.455
11996,1.052,1.171,0.474
12025,1.052,1.165,0.435
12054,1.055,1.171,2.387
12083,1.058,1.165,2.458
12112,1.055,1.158,0.461
12141,1.055,1.158,0.41
12171,1.055,1.161,2.397
12199,1.055,1.165,2.445
12229,1.052,1.161,0.471
12258,1.055,1.152,0.41
12288,1.061,1.155,2.41
12316,1.058,1.148,2.439
12345,1.055,1.152,0.452
12375,1.052,1.152,0.39
12403,1.061,1.155,2.403
12433,1.058,1.145,2.126
12462,1.052,1.142,0.448
12491,1.052,1.145,0.403
12520,1.058,1.145,2.397
12549,1.055,1.142,1.774
12578,1.055,1.142,0.452
12607,1.055,1.145,0.403
12637,1.055,1.152,2.403
12665,1.055,1.155,1.565
12695,1.058,1.142,0.448
12724,1.058,1.145,0.39
12753,1.061,1.148,2.429
12782,1.052,1.152,1.348
12811,1.055,1.158,0.439
12840,1.055,1.158,0.616
12869,1.055,1.161,2.429
12899,1.061,1.158,1.2
12928,1.052,1.158,0.445
12957,1.061,1.165,0.845
12986,1.055,1.161,2.413
13015,1.052,1.158,1.055
13044,1.052,1.158,0.452
13073,1.058,1.161,1.048
13103,1.061,1.155,2.423
13131,1.055,1.148,0.835
13161,1.055,1.152,0.435
13190,1.058,1.155,1.677
13219,1.058,1.155,2.439
