Time,Light
1825,10
1826,12
1827,12
1828,12
1829,13
1830,11
1831,13
1832,10
1833,13
1834,12
1835,12
1836,12
1837,11
1838,11
1839,11
1840,12
1841,11
1842,11
1843,12
1844,11
1845,12
1846,12
1847,11
1848,10
1849,9
1850,12
1851,11
1852,12
1853,12
1854,12
1855,11
1856,9
1857,12
1858,12
1859,12
1860,11
1861,12
1862,12
1863,12
1864,11
1865,11
1866,11
1867,12
1868,12
1869,12
1870,12
1871,12
1872,11
1873,10
1874,11
1875,12
1876,10
1877,12
1878,10
1879,9
1880,12
1881,12
1882,12
1883,11
1884,11
1885,12
1886,12
1887,11
1888,11
1889,11
1890,11
1891,12
1892,11
1893,13
1894,11
1895,11
1896,10
1897,12
1898,12
1899,12
1900,12
1901,12
1902,12
1903,12
1904,12
1905,11
1906,10
1907,13
1908,10
1909,11
1910,12
1911,11
1912,11
1913,12
1914,12
1915,11
1916,12
1917,12
1918,11
1919,12
1920,12
1921,12
1922,12
1923,12
1924,12
1925,13
1926,12
1927,12
1928,12
1929,12
1930,11
1931,12
1932,10
1933,12
1934,11
1935,10
1936,12
1937,11
1938,12
1939,12
1940,12
1941,12
1942,12
1943,9
1944,9
1945,11
1946,11
1947,12
1948,13
1949,11
1950,12
1951,11
1952,11
1953,10
1954,11
1955,12
1956,10
1957,10
1958,12
1959,11
1960,12
1961,11
1962,12
1963,12
1964,10
1965,12
1966,12
1967,9
1968,10
1969,9
1970,11
1971,12
1972,12
1973,10
1974,11
1975,11
1976,12
1977,11
1978,12
1979,12
1980,12
1981,10
1982,11
1983,11
1984,10
1985,10
1986,12
1987,11
1988,9
1989,9
1990,11
1991,10
1992,10
1993,11
1994,12
1995,11
1996,12
1997,12
1998,9
1999,12
2000,12
2001,10
2002,11
2003,11
2004,10
2005,10
2006,11
2007,10
2008,11
2009,11
2010,12
2011,12
2012,12
2013,12
2014,10
2015,9
2016,12
2017,11
2018,12
2019,10
2020,12
2021,12
2022,11
2023,12
2024,12
2025,11
2026,12
2027,12
2028,11
2029,11
2030,12
2031,12
2032,12
2033,11
2034,11
2035,10
2036,12
2037,11
2038,11
2039,11
2040,10
2041,10
2042,11
2043,12
2044,12
2045,12
2046,12
2047,9
2048,12
2049,12
2050,10
2051,10
2052,11
2053,11
2054,11
2055,10
2056,11
2057,11
2058,12
2059,12
2060,12
2061,12
2062,11
2063,9
2064,12
2065,10
2066,11
2067,12
2068,10
2069,12
2070,10
2071,10
2072,12
2073,12
2074,12
2075,12
2076,12
2077,10
2078,11
2079,12
2080,11
2081,12
2082,11
2083,12
2084,12
2085,11
2086,12
2087,11
2088,12
2089,12
2090,11
2091,12
2092,12
2093,12
2094,11
2095,12
2096,11
2097,11
2098,12
2099,12
2100,11
2101,11
2102,12
2103,11
2104,10
2105,12
2106,12
2107,9
2108,10
2109,11
2110,12
2111,12
2112,11
2113,11
2114,12
2115,12
2116,12
2117,12
2118,11
2119,10
2120,10
2121,10
2122,11
2123,12
2124,12
2125,12
2126,11
2127,10
2128,12
2129,13
2130,12
2131,12
2132,11
2133,11
2134,12
2135,11
2136,11
2137,11
2138,9
2139,12
2140,12
2141,13
2142,10
2143,12
2144,13
2145,11
2146,11
2147,12
2148,11
2149,10
2150,10
2151,12
2152,10
2153,10
2154,11
2155,11
2156,10
2157,10
2158,11
2159,12
2160,11
2161,12
2162,12
2163,12
2164,12
2165,12
2166,13
2167,11
2168,12
2169,9
2170,10
2171,12
2172,11
2173,12
2174,12
2175,12
2176,12
2177,11
2178,12
2179,11
2180,11
2181,12
2182,12
2183,12
2184,10
2185,12
2186,12
2187,12
2188,12
2189,11
2190,10
2191,11
2192,10
2193,13
2194,11
2195,12
2196,12
2197,12
2198,12
2199,11
2200,12
2201,11
2202,11
2203,11
2204,12
2205,10
2206,12
2207,11
2208,11
2209,10
2210,11
2211,12
2212,10
2213,11
2214,12
2215,12
2216,9
2217,11
2218,11
2219,11
2220,11
2221,9
2222,12
2223,12
2224,11
2225,10
2226,12
2227,11
2228,11
2229,11
2230,10
2231,10
2232,11
2233,12
2234,10
2235,11
2236,11
2237,12
2238,10
2239,11
2240,10
2241,12
2242,12
2243,11
2244,11
2245,11
2246,11
2247,11
2248,11
2249,12
2250,11
2251,11
2252,13
2253,11
2254,9
2255,10
2256,11
2257,11
2258,11
2259,11
2260,11
2261,10
2262,12
2263,12
2264,11
2265,10
2266,12
2267,11
2268,11
2269,10
2270,12
2271,10
2272,11
2273,12
2274,12
2275,11
2276,10
2277,11
2278,11
2279,12
2280,12
2281,12
2282,11
2283,10
2284,12
2285,11
2286,11
2287,9
2288,11
2289,12
2290,9
2291,12
2292,9
2293,11
2294,12
2295,11
2296,12
2297,12
2298,12
2299,12
2300,11
2301,12
2302,10
2303,11
2304,10
2305,10
2306,10
2307,10
2308,12
2309,12
2310,9
2311,12
2312,11
2313,11
2314,12
2315,12
2316,11
2317,11
2318,11
2319,12
2320,11
2321,11
2322,11
2323,11
2324,12
2325,12
2326,12
2327,12
2328,10
2329,10
2330,11
2331,10
2332,10
2333,12
2334,10
2335,11
2336,12
2337,11
2338,11
2339,11
2340,10
2341,11
2342,11
2343,10
2344,12
2345,11
2346,12
2347,11
2348,11
2349,12
2350,10
2351,10
2352,12
2353,12
2354,12
2355,10
2356,10
2357,11
2358,12
2359,10
2360,10
2361,12
2362,11
2363,13
2364,10
2365,10
2366,12
2367,10
2368,12
2369,10
2370,11
2371,12
2372,12
2373,11
2374,10
2375,10
2376,10
2377,12
2378,11
2379,10
2380,12
2381,10
2382,12
2383,12
2384,12
2385,12
2386,12
2387,10
2388,10
2389,10
2390,12
2391,12
2392,11
2393,11
2394,12
2395,12
2396,11
2397,12
2398,11
2399,12
2400,12
2401,11
2402,10
2403,11
2404,11
2405,11
2406,11
2407,12
2408,12
2409,11
2410,12
2411,10
2412,11
2413,10
2414,10
2415,12
2416,12
2417,10
2418,11
2419,10
2420,11
2421,11
2422,11
2423,10
2424,11
2425,10
2426,10
2427,11
2428,12
2429,12
2430,11
2431,11
2432,12
2433,12
2434,11
2435,11
2436,11
2437,10
2438,11
2439,11
2440,9
2441,10
2442,12
2443,11
2444,12
2445,9
2446,12
2447,10
2448,12
2449,13
2450,11
2451,12
2452,10
2453,10
2454,10
2455,10
2456,11
2457,10
2458,11
2459,12
2460,10
2461,9
2462,12
2463,11
2464,12
2465,11
2466,10
2467,12
2468,12
2469,12
2470,12
2471,11
2472,10
2473,11
2474,10
2475,11
2476,11
2477,10
2478,12
2479,11
2480,12
2481,10
2482,11
2483,12
2484,12
2485,11
2486,11
2487,13
2488,12
2489,12
2490,12
2491,12
2492,12
2493,12
2494,11
2495,12
2496,12
2497,11
2498,10
2499,12
2500,12
2501,11
2502,12
2503,10
2504,9
2505,12
2506,11
2507,11
2508,9
2509,10
2510,10
2511,11
2512,10
2513,11
2514,12
2515,11
2516,9
2517,10
2518,10
2519,11
2520,10
2521,10
2522,11
2523,12
2524,12
2525,12
2526,10
2527,11
2528,10
2529,10
2530,10
2531,11
2532,12
2533,10
2534,11
2535,10
2536,12
2537,12
2538,12
2539,12
2540,10
2541,12
2542,10
2543,12
2544,13
2545,12
2546,11
2547,12
2548,11
2549,9
2550,10
2551,10
2552,12
2553,12
2554,10
2555,12
2556,12
2557,12
2558,12
2559,11
2560,11
2561,11
2562,10
2563,11
2564,12
2565,13
2566,12
2567,14
2568,12
2569,13
2570,13
2571,14
2572,12
2573,14
2574,12
2575,13
2576,12
2577,15
2578,14
2579,14
2580,13
2581,14
2582,13
2583,12
2584,15
2585,16
2586,16
2587,15
2588,13
2589,15
2590,15
2591,18
2592,17
2593,17
2594,20
2595,19
2596,22
2597,21
2598,24
2599,23
2600,25
2601,26
2602,25
2603,27
2604,27
2605,28
2606,30
2607,29
2608,31
2609,30
2610,32
2611,30
2612,33
2613,31
2614,32
2615,33
2616,34
2617,34
2618,35
2619,32
2620,36
2621,36
2622,35
2623,35
2624,33
2625,34
2626,35
2627,35
2628,36
2629,34
2630,35
2631,36
2632,37
2633,37
2634,37
2635,37
2636,36
2637,38
2638,38
2639,38
2640,38
2641,37
2642,38
2643,39
2644,38
2645,39
2646,38
2647,40
2648,40
2649,37
2650,39
2651,38
2652,39
2653,39
2654,39
2655,40
2656,40
2657,40
2658,40
2659,40
2660,39
2661,41
2662,41
2663,41
2664,41
2665,42
2666,41
2667,43
2668,42
2669,43
2670,42
2671,43
2672,41
2673,44
2674,43
2675,42
2676,44
2677,42
2678,44
2679,43
2680,44
2681,44
2682,43
2683,43
2684,44
2685,45
2686,45
2687,46
2688,45
2689,45
2690,46
2691,46
2692,46
2693,46
2694,48
2695,47
2696,47
2697,50
2698,48
2699,50
2700,49
2701,49
2702,52
2703,50
2704,52
2705,51
2706,50
2707,51
2708,51
2709,53
2710,52
2711,53
2712,52
2713,53
2714,54
2715,52
2716,53
2717,54
2718,53
2719,55
2720,55
2721,54
2722,54
2723,53
2724,51
2725,51
2726,48
2727,47
2728,46
2729,44
2730,43
2731,44
2732,41
2733,40
2734,41
2735,38
2736,39
2737,38
2738,36
2739,36
2740,34
2741,35
2742,34
2743,33
2744,32
2745,34
2746,32
2747,32
2748,31
2749,32
2750,29
2751,29
2752,29
2753,28
2754,30
2755,28
2756,28
2757,29
2758,27
2759,28
2760,26
2761,26
2762,26
2763,25
2764,25
2765,26
2766,25
2767,24
2768,22
2769,23
2770,23
2771,24
2772,22
2773,23
2774,23
2775,22
2776,22
2777,21
2778,21
2779,22
2780,21
2781,22
2782,21
2783,21
2784,22
2785,20
2786,21
2787,21
2788,20
2789,20
2790,22
2791,21
2792,22
2793,21
2794,24
2795,24
2796,23
2797,25
2798,26
2799,27
2800,28
2801,29
2802,29
2803,30
2804,30
2805,31
2806,32
2807,30
2808,33
2809,33
2810,32
2811,34
2812,34
2813,36
2814,36
2815,37
2816,35
2817,38
2818,37
2819,38
2820,38
2821,39
2822,38
2823,38
2824,38
2825,38
2826,37
2827,37
2828,35
2829,36
2830,37
2831,35
2832,36
2833,34
2834,35
2835,36
2836,34
2837,35
2838,35
2839,33
2840,33
2841,32
2842,34
2843,33
2844,33
2845,34
2846,33
2847,33
2848,33
2849,33
2850,33
2851,33
2852,32
2853,33
2854,34
2855,32
2856,31
2857,29
2858,30
2859,29
2860,27
2861,29
2862,26
2863,26
2864,25
2865,25
2866,22
2867,23
2868,24
2869,24
2870,20
2871,22
2872,22
2873,19
2874,20
2875,19
2876,18
2877,18
2878,17
2879,17
2880,19
2881,18
2882,18
2883,18
2884,17
2885,16
2886,18
2887,17
2888,14
2889,16
2890,15
2891,15
2892,15
2893,15
2894,17
2895,17
2896,14
2897,15
2898,14
2899,15
2900,16
2901,15
2902,14
2903,15
2904,15
2905,15
2906,14
2907,15
2908,15
2909,16
2910,16
2911,14
2912,13
2913,15
2914,15
2915,13
2916,15
2917,15
2918,16
2919,15
2920,15
2921,15
2922,15
2923,15
2924,15
2925,13
2926,14
2927,14
2928,13
2929,14
2930,14
2931,15
2932,14
2933,13
2934,14
2935,13
2936,14
2937,12
2938,11
2939,12
2940,13
2941,14
2942,11
2943,12
2944,12
2945,13
2946,12
2947,14
2948,12
2949,12
2950,11
2951,11
2952,13
2953,12
2954,12
2955,12
2956,13
2957,12
2958,11
2959,10
2960,11
2961,11
2962,10
2963,12
2964,11
2965,12
2966,11
2967,10
2968,10
2969,11
2970,12
2971,12
2972,12
2973,11
2974,11
2975,12
2976,12
2977,10
2978,12
2979,11
2980,10
2981,12
2982,11
2983,9
2984,10
2985,10
2986,12
2987,11
2988,10
2989,10
2990,12
2991,12
2992,12
2993,12
2994,13
2995,15
2996,15
2997,17
2998,18
2999,18
3000,19
3001,20
3002,21
3003,23
3004,22
3005,24
3006,24
3007,24
3008,26
3009,27
3010,28
3011,27
3012,29
3013,32
3014,32
3015,31
3016,32
3017,34
3018,33
3019,32
3020,35
3021,37
3022,38
3023,37
3024,39
3025,42
3026,44
3027,46
3028,47
3029,50
3030,52
3031,54
3032,53
3033,57
3034,56
3035,60
3036,60
3037,62
3038,63
3039,62
3040,64
3041,63
3042,66
3043,67
3044,68
3045,68
3046,68
3047,72
3048,71
3049,71
3050,71
3051,72
3052,74
3053,72
3054,72
3055,74
3056,72
3057,72
3058,72
3059,71
3060,69
3061,69
3062,68
3063,65
3064,65
3065,65
3066,64
3067,63
3068,63
3069,62
3070,61
3071,61
3072,58
3073,59
3074,60
3075,58
3076,56
3077,57
3078,56
3079,56
3080,55
3081,55
3082,55
3083,55
3084,55
3085,56
3086,55
3087,55
3088,55
3089,56
3090,54
3091,54
3092,53
3093,53
3094,53
3095,54
3096,54
3097,53
3098,54
3099,53
3100,54
3101,52
3102,55
3103,52
3104,54
3105,53
3106,54
3107,53
3108,53
3109,53
3110,51
3111,53
3112,52
3113,53
3114,53
3115,54
3116,54
3117,54
3118,53
3119,56
3120,54
3121,55
3122,52
3123,54
3124,55
3125,53
3126,56
3127,54
3128,56
3129,55
3130,55
3131,57
3132,56
3133,57
3134,57
3135,57
3136,58
3137,59
3138,59
3139,58
3140,57
3141,59
3142,59
3143,58
3144,59
