Time,Light
1712,5
1713,4
1714,6
1715,6
1716,4
1717,6
1718,4
1719,5
1720,3
1721,5
1722,4
1723,5
1724,3
1725,5
1726,6
1727,3
1728,3
1729,5
1730,5
1731,3
1732,5
1733,4
1734,5
1735,4
1736,4
1737,5
1738,4
1739,5
1740,3
1741,4
1742,5
1743,3
1744,3
1745,6
1746,4
1747,4
1748,4
1749,4
1750,2
1751,3
1752,4
1753,4
1754,2
1755,4
1756,3
1757,3
1758,3
1759,4
1760,3
1761,4
1762,4
1763,5
1764,5
1765,4
1766,5
1767,4
1768,4
1769,4
1770,4
1771,5
1772,4
1773,4
1774,4
1775,4
1776,3
1777,6
1778,5
1779,5
1780,4
1781,6
1782,6
1783,4
1784,4
1785,5
1786,4
1787,5
1788,6
1789,4
1790,8
1791,9
1792,9
1793,10
1794,12
1795,12
1796,14
1797,14
1798,16
1799,16
1800,19
1801,18
1802,20
1803,23
1804,24
1805,26
1806,26
1807,24
1808,27
1809,28
1810,30
1811,30
1812,32
1813,33
1814,33
1815,35
1816,34
1817,36
1818,38
1819,36
1820,40
1821,41
1822,45
1823,48
1824,54
1825,57
1826,62
1827,64
1828,68
1829,74
1830,76
1831,80
1832,82
1833,86
1834,88
1835,90
1836,94
1837,95
1838,98
1839,99
"1,840,102",
"1,841,104",
"1,842,105",
"1,843,106",
"1,844,108",
"1,845,110",
"1,846,112",
"1,847,112",
"1,848,114",
"1,849,114",
"1,850,115",
"1,851,116",
"1,852,117",
"1,853,117",
"1,854,121",
"1,855,123",
"1,856,128",
"1,857,131",
"1,858,135",
"1,859,139",
"1,860,141",
"1,861,144",
"1,862,146",
"1,863,148",
"1,864,149",
"1,865,151",
"1,866,153",
"1,867,154",
"1,868,156",
"1,869,157",
"1,870,157",
"1,871,158",
"1,872,160",
"1,873,160",
"1,874,161",
"1,875,162",
"1,876,163",
"1,877,164",
"1,878,164",
"1,879,164",
"1,880,166",
"1,881,166",
"1,882,166",
"1,883,166",
"1,884,167",
"1,885,168",
"1,886,168",
"1,887,168",
"1,888,168",
"1,889,169",
"1,890,169",
"1,891,169",
"1,892,170",
"1,893,169",
"1,894,170",
"1,895,169",
"1,896,169",
"1,897,170",
"1,898,171",
"1,899,171",
"1,900,171",
"1,901,170",
"1,902,171",
"1,903,170",
"1,904,171",
"1,905,171",
"1,906,173",
"1,907,172",
"1,908,172",
"1,909,173",
"1,910,173",
"1,911,173",
"1,912,173",
"1,913,172",
"1,914,173",
"1,915,172",
"1,916,172",
"1,917,171",
"1,918,172",
"1,919,173",
"1,920,172",
"1,921,173",
"1,922,174",
"1,923,174",
"1,924,174",
"1,925,174",
"1,926,174",
"1,927,173",
"1,928,173",
"1,929,174",
"1,930,173",
"1,931,172",
"1,932,174",
"1,933,172",
"1,934,175",
"1,935,173",
"1,936,173",
"1,937,175",
"1,938,173",
"1,939,174",
"1,940,173",
"1,941,175",
"1,942,174",
"1,943,174",
"1,944,175",
"1,945,175",
"1,946,174",
"1,947,175",
"1,948,174",
"1,949,175",
"1,950,174",
"1,951,174",
"1,952,174",
"1,953,175",
"1,954,175",
"1,955,174",
"1,956,171",
"1,957,170",
"1,958,166",
"1,959,166",
"1,960,162",
"1,961,161",
"1,962,159",
"1,963,158",
"1,964,155",
"1,965,154",
"1,966,153",
"1,967,151",
"1,968,151",
"1,969,149",
"1,970,149",
"1,971,148",
"1,972,147",
"1,973,147",
"1,974,144",
"1,975,145",
"1,976,144",
"1,977,143",
"1,978,143",
"1,979,142",
"1,980,143",
"1,981,140",
"1,982,141",
"1,983,142",
"1,984,140",
"1,985,140",
"1,986,140",
"1,987,140",
"1,988,139",
"1,989,136",
"1,990,131",
"1,991,125",
"1,992,122",
"1,993,117",
"1,994,114",
"1,995,110",
"1,996,108",
"1,997,104",
"1,998,102",
1999,99
2000,96
2001,94
2002,92
2003,91
2004,89
2005,88
2006,85
2007,83
2008,81
2009,82
2010,80
2011,78
2012,77
2013,77
2014,76
2015,75
2016,76
2017,74
2018,73
2019,73
2020,72
2021,71
2022,68
2023,64
2024,60
2025,58
2026,56
2027,51
2028,49
2029,46
2030,45
2031,43
2032,38
2033,37
2034,37
2035,35
2036,32
2037,32
2038,30
2039,30
2040,28
2041,27
2042,26
2043,25
2044,24
2045,24
2046,23
2047,23
2048,22
2049,21
2050,21
2051,20
2052,19
2053,17
2054,18
2055,19
2056,18
2057,18
2058,16
2059,16
2060,15
2061,14
2062,13
2063,14
2064,12
2065,13
2066,14
2067,11
2068,10
2069,10
2070,11
2071,9
2072,11
2073,9
2074,10
2075,9
2076,8
2077,8
2078,10
2079,8
2080,10
2081,8
2082,8
2083,7
2084,7
2085,7
2086,8
2087,8
2088,8
2089,7
2090,8
2091,7
2092,5
2093,7
2094,7
2095,6
2096,6
2097,7
2098,5
2099,5
2100,5
2101,5
2102,5
2103,5
2104,5
2105,6
2106,5
2107,4
2108,6
2109,5
2110,6
2111,4
2112,6
2113,4
2114,4
2115,5
2116,6
2117,5
2118,4
2119,5
2120,4
2121,6
2122,5
2123,5
2124,5
2125,5
2126,4
2127,5
2128,4
2129,4
2130,5
2131,3
2132,4
2133,5
2134,3
2135,6
2136,5
2137,3
2138,5
2139,2
2140,5
2141,2
2142,3
2143,4
2144,4
2145,4
2146,3
2147,4
2148,3
2149,4
2150,4
2151,3
2152,2
2153,4
2154,3
2155,5
2156,4
2157,2
2158,3
2159,3
2160,3
2161,4
2162,3
2163,5
2164,2
2165,4
2166,6
2167,4
2168,4
2169,5
2170,3
2171,4
2172,4
2173,5
2174,5
2175,5
2176,4
2177,4
2178,5
2179,5
2180,5
2181,4
2182,4
2183,3
2184,4
2185,6
2186,6
2187,5
2188,6
2189,6
2190,7
2191,7
2192,9
2193,9
2194,9
2195,11
2196,14
2197,14
2198,17
2199,18
2200,17
2201,19
2202,21
2203,22
2204,23
2205,25
2206,25
2207,26
2208,28
2209,28
2210,28
2211,31
2212,31
2213,31
2214,32
2215,35
2216,35
2217,36
2218,38
2219,39
2220,37
2221,40
2222,43
2223,45
2224,52
2225,55
2226,59
2227,64
2228,68
2229,71
2230,75
2231,80
2232,81
2233,84
2234,87
2235,90
2236,92
2237,94
2238,96
"2,239,100",
"2,240,102",
"2,241,103",
"2,242,104",
"2,243,108",
"2,244,109",
"2,245,110",
"2,246,111",
"2,247,112",
"2,248,114",
"2,249,115",
"2,250,117",
"2,251,118",
"2,252,119",
"2,253,119",
"2,254,120",
"2,255,122",
"2,256,127",
"2,257,132",
"2,258,134",
"2,259,137",
"2,260,139",
"2,261,144",
"2,262,145",
"2,263,149",
"2,264,151",
"2,265,153",
"2,266,154",
"2,267,154",
"2,268,156",
"2,269,158",
"2,270,158",
"2,271,161",
"2,272,160",
"2,273,161",
"2,274,162",
"2,275,163",
"2,276,164",
"2,277,165",
"2,278,165",
"2,279,165",
"2,280,166",
"2,281,167",
"2,282,166",
"2,283,168",
"2,284,169",
"2,285,168",
"2,286,169",
"2,287,169",
"2,288,170",
"2,289,170",
"2,290,171",
"2,291,172",
"2,292,171",
"2,293,171",
"2,294,172",
"2,295,172",
"2,296,172",
"2,297,171",
"2,298,171",
"2,299,172",
"2,300,171",
"2,301,173",
"2,302,173",
"2,303,172",
"2,304,173",
"2,305,174",
"2,306,173",
"2,307,174",
"2,308,174",
"2,309,174",
"2,310,175",
"2,311,174",
"2,312,175",
"2,313,174",
"2,314,175",
"2,315,173",
"2,316,175",
"2,317,174",
"2,318,174",
"2,319,174",
"2,320,175",
"2,321,175",
"2,322,176",
"2,323,175",
"2,324,176",
"2,325,176",
"2,326,176",
"2,327,176",
"2,328,176",
"2,329,175",
"2,330,174",
"2,331,175",
"2,332,176",
"2,333,176",
"2,334,175",
"2,335,176",
"2,336,175",
"2,337,176",
"2,338,176",
"2,339,177",
"2,340,176",
"2,341,177",
"2,342,177",
"2,343,177",
"2,344,176",
"2,345,176",
"2,346,177",
"2,347,177",
"2,348,176",
"2,349,176",
"2,350,177",
"2,351,176",
"2,352,176",
"2,353,176",
"2,354,176",
"2,355,177",
"2,356,176",
"2,357,174",
"2,358,170",
"2,359,169",
"2,360,167",
"2,361,164",
"2,362,163",
"2,363,160",
"2,364,158",
"2,365,156",
"2,366,156",
"2,367,154",
"2,368,154",
"2,369,153",
"2,370,151",
"2,371,150",
"2,372,149",
"2,373,148",
"2,374,148",
"2,375,146",
"2,376,146",
"2,377,146",
"2,378,144",
"2,379,143",
"2,380,143",
"2,381,144",
"2,382,142",
"2,383,143",
"2,384,143",
"2,385,142",
"2,386,141",
"2,387,141",
"2,388,143",
"2,389,139",
"2,390,137",
"2,391,131",
"2,392,127",
"2,393,121",
"2,394,119",
"2,395,115",
"2,396,112",
"2,397,108",
"2,398,106",
"2,399,102",
"2,400,100",
2401,97
2402,96
2403,93
2404,91
2405,89
2406,90
2407,86
2408,86
2409,83
2410,82
2411,80
2412,78
2413,79
2414,78
2415,77
2416,76
2417,76
2418,74
2419,75
2420,74
2421,73
2422,73
2423,70
2424,66
2425,62
2426,59
2427,56
