Time,Light
2912,12
2913,12
2914,12
2915,12
2916,11
2917,12
2918,12
2919,13
2920,14
2921,13
2922,13
2923,12
2924,12
2925,13
2926,12
2927,11
2928,13
2929,12
2930,12
2931,12
2932,14
2933,14
2934,13
2935,13
2936,13
2937,13
2938,13
2939,12
2940,13
2941,13
2942,13
2943,12
2944,14
2945,14
2946,14
2947,14
2948,14
2949,14
2950,15
2951,14
2952,14
2953,16
2954,16
2955,15
2956,16
2957,17
2958,17
2959,18
2960,19
2961,18
2962,19
2963,20
2964,20
2965,20
2966,21
2967,22
2968,21
2969,22
2970,20
2971,22
2972,22
2973,24
2974,22
2975,24
2976,24
2977,25
2978,26
2979,26
2980,27
2981,29
2982,29
2983,32
2984,34
2985,34
2986,35
2987,36
2988,37
2989,37
2990,38
2991,39
2992,40
2993,41
2994,41
2995,44
2996,44
2997,44
2998,45
2999,45
3000,47
3001,48
3002,48
3003,48
3004,49
3005,50
3006,49
3007,50
3008,50
3009,52
3010,54
3011,52
3012,54
3013,56
3014,58
3015,58
3016,59
3017,59
3018,61
3019,62
3020,64
3021,64
3022,65
3023,66
3024,66
3025,66
3026,68
3027,67
3028,69
3029,69
3030,70
3031,70
3032,70
3033,72
3034,72
3035,72
3036,72
3037,72
3038,74
3039,74
3040,74
3041,74
3042,74
3043,75
3044,75
3045,74
3046,75
3047,76
3048,74
3049,74
3050,76
3051,76
3052,75
3053,77
3054,78
3055,77
3056,77
3057,77
3058,76
3059,76
3060,78
3061,76
3062,77
3063,77
3064,78
3065,78
3066,76
3067,77
3068,77
3069,78
3070,78
3071,79
3072,77
3073,77
3074,79
3075,77
3076,79
3077,79
3078,78
3079,79
3080,79
3081,78
3082,77
3083,78
3084,79
3085,79
3086,80
3087,80
3088,78
3089,80
3090,78
3091,80
3092,79
3093,80
3094,81
3095,78
3096,80
3097,79
3098,80
3099,80
3100,79
3101,80
3102,80
3103,79
3104,79
3105,79
3106,80
3107,80
3108,80
3109,80
3110,80
3111,80
3112,78
3113,77
3114,76
3115,76
3116,75
3117,73
3118,72
3119,71
3120,72
3121,72
3122,71
3123,70
3124,69
3125,68
3126,69
3127,70
3128,68
3129,68
3130,67
3131,66
3132,66
3133,67
3134,64
3135,65
3136,66
3137,65
3138,65
3139,64
3140,64
3141,64
3142,63
3143,63
3144,62
3145,62
3146,60
3147,58
3148,56
3149,55
3150,54
3151,53
3152,52
3153,51
3154,48
3155,50
3156,48
3157,48
3158,45
3159,46
3160,45
3161,44
3162,43
3163,43
3164,42
3165,40
3166,41
3167,39
3168,40
3169,40
3170,39
3171,39
3172,39
3173,37
3174,39
3175,38
3176,36
3177,37
3178,34
3179,34
3180,32
3181,33
3182,31
3183,29
3184,29
3185,29
3186,30
3187,27
3188,25
3189,26
3190,25
3191,26
3192,25
3193,25
3194,24
3195,23
3196,21
3197,22
3198,23
3199,23
3200,22
3201,20
3202,22
3203,20
3204,20
3205,20
3206,20
3207,18
3208,19
3209,19
3210,18
3211,19
3212,19
3213,20
3214,18
3215,18
3216,17
3217,18
3218,17
3219,17
3220,15
3221,15
3222,18
3223,15
3224,15
3225,16
3226,17
3227,16
3228,16
3229,16
3230,16
3231,16
3232,16
3233,14
3234,16
3235,16
3236,16
3237,15
3238,16
3239,13
3240,14
3241,14
3242,14
3243,13
3244,15
3245,13
3246,15
3247,13
3248,14
3249,14
3250,12
3251,13
3252,13
3253,12
3254,14
3255,14
3256,13
3257,14
3258,13
3259,14
3260,13
3261,13
3262,14
3263,15
3264,13
3265,14
3266,13
3267,13
3268,13
3269,13
3270,12
3271,13
3272,13
3273,14
3274,13
3275,12
3276,12
3277,14
3278,13
3279,12
3280,12
3281,12
3282,12
3283,14
3284,11
3285,14
3286,13
3287,13
3288,12
3289,13
3290,13
3291,12
3292,12
3293,13
3294,13
3295,13
3296,12
3297,13
3298,12
3299,12
3300,13
3301,12
3302,11
3303,12
3304,13
3305,11
3306,13
3307,11
3308,12
3309,11
3310,12
3311,12
3312,11
3313,12
3314,11
3315,10
3316,12
3317,13
3318,12
3319,12
3320,12
3321,13
3322,12
3323,13
3324,12
3325,12
3326,12
3327,12
3328,12
3329,12
3330,11
3331,13
3332,12
3333,11
3334,12
3335,14
3336,12
3337,13
3338,12
3339,12
3340,13
3341,12
3342,14
3343,12
3344,12
3345,13
3346,14
3347,13
3348,12
3349,14
3350,12
3351,14
3352,15
3353,14
3354,14
3355,17
3356,16
3357,16
3358,16
3359,16
3360,17
3361,17
3362,18
3363,19
3364,19
3365,19
3366,21
3367,22
3368,21
3369,20
3370,22
3371,20
3372,21
3373,23
3374,22
3375,22
3376,22
3377,24
3378,26
3379,24
3380,27
3381,29
3382,30
3383,30
3384,31
3385,32
3386,34
3387,34
3388,37
3389,36
3390,38
3391,39
3392,42
3393,40
3394,42
3395,42
3396,44
3397,43
3398,45
3399,45
3400,45
3401,47
3402,46
3403,46
3404,49
3405,47
3406,48
3407,49
3408,49
3409,51
3410,51
3411,54
3412,53
3413,53
3414,56
3415,58
3416,59
3417,59
3418,60
3419,63
3420,62
3421,63
3422,64
3423,66
3424,67
3425,67
3426,66
3427,67
3428,68
3429,68
3430,70
3431,70
3432,70
3433,71
3434,71
3435,71
3436,72
3437,73
3438,72
3439,74
3440,74
3441,74
3442,74
3443,74
3444,74
3445,74
3446,75
3447,75
3448,75
3449,75
3450,76
3451,76
3452,76
3453,77
3454,77
3455,77
3456,78
3457,76
3458,76
3459,76
3460,76
3461,78
3462,76
3463,77
3464,78
3465,78
3466,78
3467,77
3468,79
3469,77
3470,77
3471,78
3472,78
3473,79
3474,79
3475,78
3476,79
3477,79
3478,80
3479,79
3480,79
3481,78
3482,78
3483,79
3484,78
3485,80
3486,80
3487,78
3488,80
3489,79
3490,79
3491,80
3492,80
3493,79
3494,81
3495,79
3496,79
3497,80
3498,80
3499,80
3500,81
3501,81
3502,81
3503,81
3504,81
3505,79
3506,80
3507,80
3508,81
3509,81
3510,80
3511,80
3512,79
3513,79
3514,76
3515,76
3516,74
3517,73
3518,73
3519,74
3520,72
3521,71
3522,70
3523,71
3524,71
3525,70
3526,68
3527,68
3528,69
3529,68
3530,67
3531,66
3532,67
3533,67
3534,67
3535,67
3536,67
3537,64
3538,64
3539,66
3540,64
3541,65
3542,65
3543,65
3544,63
3545,62
3546,61
3547,59
3548,58
3549,57
3550,54
3551,52
3552,52
3553,51
3554,49
3555,48
3556,49
3557,48
3558,46
3559,47
3560,45
3561,43
3562,42
3563,43
3564,41
3565,42
3566,40
3567,41
3568,40
3569,40
3570,40
3571,39
3572,39
3573,38
3574,39
3575,37
3576,35
3577,38
3578,36
3579,33
3580,34
3581,33
3582,31
3583,32
3584,29
3585,30
3586,28
3587,26
3588,27
3589,26
3590,25
3591,26
3592,24
3593,22
3594,23
3595,23
3596,22
3597,22
3598,21
3599,21
3600,21
3601,21
3602,20
3603,20
3604,18
3605,19
3606,19
3607,18
3608,18
3609,19
3610,17
3611,17
3612,17
3613,16
3614,15
3615,17
3616,15
3617,16
3618,17
3619,14
3620,17
3621,15
3622,15
3623,17
3624,16
3625,14
3626,16
3627,16
3628,15
3629,14
3630,14
3631,15
3632,14
3633,13
3634,15
3635,13
3636,13
3637,13
3638,14
3639,13
3640,13
3641,13
3642,14
3643,14
3644,14
3645,12
3646,14
3647,13
3648,13
3649,13
3650,13
3651,14
3652,13
3653,12
3654,11
3655,13
3656,13
3657,12
3658,13
3659,12
3660,12
3661,13
3662,14
3663,14
3664,12
3665,12
3666,13
3667,12
3668,14
3669,12
3670,13
3671,13
3672,12
3673,12
3674,12
3675,13
3676,12
3677,13
3678,13
3679,13
3680,12
3681,12
3682,11
3683,11
3684,12
3685,11
3686,12
3687,11
3688,10
3689,11
3690,12
3691,12
3692,12
3693,11
3694,11
3695,10
3696,12
3697,11
3698,10
3699,10
3700,10
3701,11
3702,10
3703,13
3704,12
3705,11
3706,11
3707,11
3708,12
3709,12
3710,10
3711,11
3712,11
3713,9
3714,11
3715,12
3716,11
3717,11
3718,11
3719,10
3720,11
3721,12
3722,11
3723,10
3724,11
3725,11
3726,10
3727,13
3728,12
3729,10
3730,11
3731,9
3732,10
3733,10
3734,10
3735,10
3736,10
3737,11
3738,10
3739,10
3740,10
3741,10
3742,11
3743,12
3744,11
3745,11
3746,11
3747,12
3748,11
3749,11
3750,14
3751,14
3752,14
3753,13
3754,15
3755,15
3756,15
3757,16
3758,15
3759,17
3760,17
3761,17
3762,16
3763,18
3764,17
3765,18
3766,19
3767,19
3768,19
3769,21
3770,20
3771,22
3772,22
3773,21
3774,22
3775,21
3776,22
3777,22
3778,23
3779,23
3780,26
3781,26
3782,28
3783,30
3784,30
3785,34
3786,33
3787,33
3788,36
3789,36
3790,39
3791,38
3792,40
