Time,Light
6674,7
6675,9
6676,7
6677,7
6678,8
6679,11
6680,12
6681,12
6682,12
6683,15
6684,16
6685,18
6686,19
6687,22
6688,24
6689,26
6690,27
6691,29
6692,32
6693,31
6694,34
6695,36
6696,39
6697,40
6698,40
6699,42
6700,44
6701,44
6702,46
6703,48
6704,47
6705,48
6706,49
6707,50
6708,52
6709,54
6710,53
6711,54
6712,54
6713,55
6714,56
6715,53
6716,55
6717,53
6718,55
6719,55
6720,55
6721,54
6722,54
6723,52
6724,54
6725,53
6726,54
6727,54
6728,54
6729,53
6730,51
6731,51
6732,53
6733,51
6734,51
6735,50
6736,49
6737,49
6738,50
6739,50
6740,48
6741,49
6742,50
6743,51
6744,50
6745,49
6746,50
6747,49
6748,48
6749,48
6750,48
6751,50
6752,50
6753,48
6754,48
6755,48
6756,48
6757,48
6758,49
6759,49
6760,48
6761,48
6762,48
6763,49
6764,49
6765,49
6766,49
6767,49
6768,49
6769,48
6770,50
6771,51
6772,50
6773,50
6774,50
6775,49
6776,50
6777,48
6778,49
6779,50
6780,50
6781,50
6782,50
6783,50
6784,50
6785,50
6786,51
6787,52
6788,53
6789,53
6790,53
6791,52
6792,52
6793,52
6794,54
6795,53
6796,53
6797,54
6798,54
6799,54
6800,54
6801,54
6802,54
6803,53
6804,54
6805,54
6806,53
6807,55
6808,55
6809,55
6810,53
6811,55
6812,54
6813,52
6814,52
6815,51
6816,50
6817,48
6818,48
6819,46
6820,46
6821,43
6822,43
6823,42
6824,41
6825,41
6826,39
6827,40
6828,40
6829,39
6830,38
6831,37
6832,37
6833,37
6834,37
6835,35
6836,35
6837,34
6838,35
6839,35
6840,35
6841,34
6842,33
6843,34
6844,33
6845,34
6846,33
6847,33
6848,33
6849,31
6850,31
6851,32
6852,31
6853,32
6854,32
6855,31
6856,32
6857,31
6858,29
6859,32
6860,31
6861,32
6862,29
6863,30
6864,31
6865,30
6866,30
6867,30
6868,31
6869,29
6870,30
6871,28
6872,29
6873,29
6874,30
6875,30
6876,30
6877,30
6878,30
6879,29
6880,30
6881,31
6882,32
6883,34
6884,36
6885,35
6886,36
6887,38
6888,37
6889,39
6890,39
6891,40
6892,41
6893,41
6894,41
6895,39
6896,43
6897,44
6898,44
6899,44
6900,44
6901,46
6902,44
6903,46
6904,45
6905,46
6906,47
6907,47
6908,47
6909,47
6910,47
6911,45
6912,47
6913,44
6914,44
6915,44
6916,41
6917,42
6918,42
6919,39
6920,39
6921,37
6922,38
6923,37
6924,37
6925,36
6926,35
6927,34
6928,34
6929,33
6930,33
6931,31
6932,31
6933,33
6934,32
6935,32
6936,29
6937,32
6938,32
6939,30
6940,30
6941,28
6942,28
6943,30
6944,27
6945,28
6946,27
6947,25
6948,25
6949,24
6950,23
6951,25
6952,21
6953,21
6954,21
6955,21
6956,21
6957,19
6958,20
6959,18
6960,18
6961,17
6962,17
6963,18
6964,17
6965,16
6966,17
6967,16
6968,16
6969,15
6970,16
6971,16
6972,16
6973,15
6974,15
6975,14
6976,14
6977,15
6978,13
6979,13
6980,14
6981,14
6982,14
6983,14
6984,14
6985,14
6986,14
6987,13
6988,14
6989,12
6990,12
6991,14
6992,12
6993,15
6994,13
6995,14
6996,14
6997,15
6998,14
6999,14
7000,13
7001,14
7002,13
7003,15
7004,15
7005,14
7006,14
7007,13
7008,13
7009,14
7010,14
7011,14
7012,15
7013,14
7014,13
7015,14
7016,15
7017,14
7018,16
7019,16
7020,16
7021,16
7022,16
7023,13
7024,16
7025,16
7026,16
7027,14
7028,15
7029,17
7030,15
7031,16
7032,16
7033,17
7034,17
7035,16
7036,16
7037,16
7038,17
7039,16
7040,16
7041,17
7042,16
7043,15
7044,14
7045,18
7046,16
7047,18
7048,17
7049,16
7050,16
7051,18
7052,17
7053,16
7054,18
7055,18
7056,17
7057,16
7058,17
7059,17
7060,18
7061,18
7062,16
7063,18
7064,18
7065,18
7066,17
7067,18
7068,18
7069,18
7070,20
7071,17
7072,16
7073,17
7074,16
7075,16
7076,18
7077,17
7078,20
7079,17
7080,21
7081,20
7082,23
7083,22
7084,24
7085,24
7086,27
7087,28
7088,29
7089,28
7090,29
7091,32
7092,31
7093,34
7094,32
7095,35
7096,35
7097,36
7098,36
7099,38
7100,39
7101,39
7102,39
7103,40
7104,41
7105,42
7106,41
7107,42
7108,43
7109,43
7110,42
7111,44
7112,45
7113,46
7114,44
7115,44
7116,44
7117,45
7118,45
7119,46
7120,47
7121,46
7122,47
7123,47
7124,46
7125,46
7126,48
7127,48
7128,46
7129,47
7130,46
7131,47
7132,46
7133,48
7134,48
7135,47
7136,49
7137,49
7138,48
7139,48
7140,49
7141,48
7142,48
7143,47
7144,47
7145,47
7146,46
7147,46
7148,44
7149,42
7150,41
7151,39
7152,40
7153,37
7154,35
7155,36
7156,35
7157,32
7158,32
7159,31
7160,30
7161,30
7162,29
7163,27
7164,28
7165,27
7166,28
7167,26
7168,26
7169,27
7170,24
7171,24
7172,23
7173,23
7174,24
7175,22
7176,22
7177,22
7178,22
7179,22
7180,23
7181,22
7182,22
7183,21
7184,20
7185,21
7186,21
7187,21
7188,20
7189,21
7190,22
7191,21
7192,22
7193,19
7194,20
7195,21
7196,20
7197,20
7198,21
7199,20
7200,21
7201,19
7202,20
7203,22
7204,20
7205,21
7206,21
7207,21
7208,21
7209,21
7210,19
7211,19
7212,21
7213,21
7214,23
7215,23
7216,24
7217,23
7218,24
7219,24
7220,26
7221,25
7222,27
7223,25
7224,27
7225,27
7226,27
7227,28
7228,29
7229,28
7230,28
7231,29
7232,28
7233,30
7234,29
7235,30
7236,30
7237,31
7238,32
7239,31
7240,31
7241,32
7242,31
7243,32
7244,31
7245,33
7246,34
7247,32
7248,32
7249,33
7250,32
7251,33
7252,31
7253,32
7254,31
7255,30
7256,30
7257,30
7258,29
7259,29
7260,28
7261,29
7262,31
7263,30
7264,29
7265,28
7266,28
7267,28
7268,28
7269,27
7270,28
7271,29
7272,28
7273,28
7274,29
7275,28
7276,28
7277,28
7278,27
7279,29
7280,29
7281,28
7282,27
7283,29
7284,30
7285,29
7286,31
7287,31
7288,31
7289,31
7290,31
7291,31
7292,33
7293,32
7294,33
7295,33
7296,34
7297,34
7298,34
7299,34
7300,34
7301,35
7302,34
7303,35
7304,35
7305,34
7306,37
7307,35
7308,35
7309,36
7310,36
7311,38
7312,38
7313,37
7314,39
7315,38
7316,38
7317,39
7318,40
7319,40
7320,42
7321,42
7322,43
7323,43
7324,43
7325,43
7326,44
7327,45
7328,44
7329,45
7330,45
7331,46
7332,46
7333,47
7334,47
7335,46
7336,47
7337,48
7338,47
7339,48
7340,48
7341,48
7342,48
7343,48
7344,48
7345,48
7346,47
7347,46
7348,45
7349,46
7350,43
7351,42
7352,41
7353,40
7354,37
7355,38
7356,37
7357,36
7358,35
7359,35
7360,34
7361,36
7362,32
7363,32
7364,33
7365,33
7366,32
7367,31
7368,30
7369,29
7370,30
7371,30
7372,28
7373,30
7374,28
7375,27
7376,28
7377,28
7378,27
7379,26
7380,27
7381,27
7382,27
7383,27
7384,27
7385,25
7386,26
7387,26
7388,25
7389,26
7390,25
7391,24
7392,24
7393,24
7394,24
7395,24
7396,24
7397,25
7398,23
7399,23
7400,24
7401,23
7402,23
7403,23
7404,25
7405,25
7406,25
7407,25
7408,24
7409,23
7410,23
7411,23
7412,24
7413,25
7414,28
7415,28
7416,28
7417,30
7418,31
7419,32
7420,34
7421,37
7422,36
7423,38
7424,39
7425,40
7426,40
7427,43
7428,44
7429,44
7430,45
7431,46
7432,46
7433,46
7434,49
7435,48
7436,48
7437,50
7438,50
7439,52
7440,51
7441,51
7442,53
7443,53
7444,53
7445,54
7446,55
7447,53
7448,53
7449,53
7450,54
7451,54
7452,53
7453,56
7454,56
7455,55
7456,54
7457,53
7458,53
7459,56
7460,54
7461,54
7462,54
7463,54
7464,54
7465,53
7466,53
7467,54
7468,54
7469,55
7470,56
7471,54
