Time,Light
7159,20
7165,20
7171,20
7176,20
7182,20
7188,20
7193,20
7199,20
7205,20
7211,20
7216,20
7222,21
7228,21
7233,21
7239,21
7245,21
7251,21
7256,21
7262,21
7268,21
7273,21
7279,21
7285,21
7290,21
7296,21
7302,21
7308,21
7313,21
7319,21
7325,21
7330,21
7336,21
7342,21
7348,21
7353,21
7359,22
7365,22
7370,22
7376,22
7382,22
7388,22
7393,22
7399,22
7405,21
7410,22
7416,21
7422,22
7427,21
7433,21
7439,21
7445,21
7450,22
7456,21
7462,21
7467,21
7473,22
7479,22
7484,22
7490,22
7496,22
7502,22
7507,22
7513,22
7519,22
7524,22
7530,22
7536,23
7542,23
7547,22
7553,22
7559,23
7564,23
7570,22
7576,22
7581,22
7587,22
7593,22
7599,22
7604,22
7610,22
7616,22
7621,22
7627,22
7633,22
7639,23
7644,23
7650,23
7656,22
7661,22
7667,22
7673,22
7679,22
7684,22
7690,22
7696,22
7701,22
7707,22
7713,22
7718,22
7724,22
7730,22
7736,22
7741,22
7747,22
7753,22
7758,22
7764,22
7770,22
7776,22
7781,22
7787,22
7793,22
7798,22
7804,22
7810,22
7816,22
7821,22
7827,22
7833,22
7838,22
7844,22
7850,22
7855,22
7861,22
7867,22
7873,22
7878,22
7884,21
7890,21
7895,21
7901,21
7907,21
7913,21
7918,21
7924,21
7930,21
7935,21
7941,21
7947,21
7952,21
7958,21
7964,21
7970,21
7975,21
7981,21
7987,21
7992,21
7998,21
8004,21
8010,21
8015,21
8021,21
8027,21
8032,21
8038,21
8044,21
8049,21
8055,21
8061,21
8067,21
8072,21
8078,21
8084,21
8089,21
8095,21
8101,21
8106,21
8112,20
8118,20
8124,20
8129,20
8135,20
8141,20
8146,20
8152,20
8158,20
8164,20
8169,20
8175,20
8181,20
8186,21
8192,21
8198,21
8203,21
8209,21
8215,21
8221,21
8226,21
8232,21
8238,21
8243,21
8249,21
8255,21
8261,21
8266,21
8272,21
8278,21
8283,21
8289,21
8295,21
8301,21
8306,21
8312,21
8318,21
8323,21
8329,21
8335,21
8340,21
8346,21
8352,21
8358,21
8363,21
8369,21
8375,21
8380,22
8386,22
8392,22
8398,21
8403,22
8409,22
8415,22
8420,22
8426,22
8432,22
8437,21
8443,21
8449,21
8455,21
8460,21
8466,22
8472,21
8477,21
8483,21
8489,22
8494,22
8500,22
8506,22
8512,22
8517,22
8523,22
8529,22
8534,22
8540,22
8546,23
8552,23
8557,23
8563,22
8569,22
8574,23
8580,22
8586,22
8591,22
8597,22
8603,22
8609,22
8614,22
8620,22
8626,22
8631,22
8637,22
8643,22
8649,22
8654,22
8660,22
8666,22
8671,22
8677,22
8683,22
8688,22
8694,22
8700,22
8706,22
8711,22
8717,22
8723,22
8728,22
8734,22
8740,22
8746,22
8751,22
8757,22
8763,22
8768,22
8774,22
8780,22
8786,22
8791,22
8797,22
8803,22
8808,22
8814,22
8820,22
8826,22
8831,22
8837,22
8843,22
8848,22
8854,22
8860,22
8865,22
8871,22
8877,22
8883,22
8888,22
8894,22
8900,22
8905,22
8911,22
8917,22
8923,22
8928,22
8934,21
8940,21
8945,22
8951,21
8957,21
8962,21
8968,21
8974,21
8980,21
8985,21
8991,21
8997,21
9002,21
9008,21
9014,20
9020,20
9025,21
9031,21
9037,21
9042,21
9048,21
9054,21
