Time,Light
4833,22
4839,26
4845,29
4851,24
4856,23
4862,25
4868,26
4873,29
4879,22
4885,23
4890,25
4896,27
4902,25
4907,21
4913,24
4919,24
4924,29
4930,25
4936,22
4941,23
4947,26
4953,28
4959,24
4964,23
4970,24
4976,26
4981,28
4987,23
4993,23
4998,25
5004,29
5010,26
5015,21
5021,22
5027,25
5032,29
5038,25
5044,22
5050,26
5055,26
5061,27
5067,24
5072,24
5078,25
5084,26
5089,27
5095,22
5101,24
5107,26
5112,28
5118,25
5124,20
5129,23
5135,25
5141,28
5146,26
5152,23
5158,24
5163,27
5169,29
5175,24
5180,22
5186,26
5192,27
5198,28
5203,23
5209,24
5215,25
5220,30
5226,27
5232,23
5237,22
5243,27
5249,31
5254,26
5260,23
5266,24
5272,28
5277,29
5283,25
5289,25
5294,25
5300,28
5306,29
5311,24
5317,23
5323,26
5328,32
5334,26
5340,22
5345,25
5351,29
5357,29
5362,25
5368,24
5374,25
5380,29
5385,28
5391,24
5397,26
5402,26
5408,30
5414,26
5419,23
5425,24
5431,28
5436,30
5442,26
5448,23
5453,25
5459,29
5465,29
5470,26
5476,24
5482,26
5488,30
5493,29
5499,23
5505,25
5510,29
5516,31
5522,26
5527,22
5533,25
5539,29
5544,29
5550,24
5556,22
5562,26
5567,28
5573,29
5579,26
5584,24
5590,26
5596,31
5601,29
5607,23
5613,25
5618,27
5624,31
5630,26
5636,24
5641,25
5647,26
5653,28
5658,24
5664,24
5670,26
5675,28
5681,30
5687,25
5692,22
5698,27
5704,30
5709,28
5715,23
5721,26
5727,28
5732,30
5738,26
5744,24
5749,24
5755,26
5761,30
5766,24
5772,23
5778,26
5783,27
5789,28
5795,25
5801,25
5806,27
5812,28
5818,26
5823,21
5829,23
5835,27
5840,29
5846,24
5852,22
5857,24
5863,28
5869,28
5874,23
5880,23
5886,26
5891,30
5897,27
5903,22
5909,23
5914,25
5920,28
5926,25
5931,22
5937,24
5943,27
5948,27
5954,24
5960,22
5965,26
5971,26
5977,27
5982,19
5988,24
5994,26
5999,30
6005,24
6011,23
6017,22
6022,26
6028,27
6034,24
6039,22
6045,25
6051,26
6056,28
6062,24
6068,24
6073,25
6079,27
6085,27
6091,21
6096,24
6102,27
6108,31
6113,24
6119,20
6125,24
6130,27
6136,28
6142,25
6147,22
6153,26
6159,28
6165,27
6170,24
6176,22
6182,25
6187,29
6193,27
6199,21
6204,24
6210,25
6216,29
6221,26
6227,24
6233,25
6238,27
6244,28
6250,25
6256,24
6261,25
6267,29
6273,29
6278,23
6284,22
6290,26
6295,29
6301,27
6307,23
6312,23
6318,26
6324,31
6330,27
6335,24
6341,25
6347,28
6352,28
6358,24
6364,25
6369,27
6375,30
6381,27
6386,23
6392,24
6398,27
6403,31
6409,27
6415,23
6420,25
6426,28
6432,29
6438,26
6443,24
6449,25
6455,30
6460,28
6466,24
6472,25
6477,27
6483,29
6489,27
6494,22
6500,25
6506,28
6511,29
6517,26
6523,24
6528,26
6534,29
6540,28
6546,26
6551,23
6557,26
6563,29
6568,27
6574,23
6580,26
6585,27
6591,30
6597,26
6602,24
6608,26
6614,27
6620,28
6625,26
6631,23
6637,25
6642,29
6648,28
6654,25
6659,26
6665,27
6671,28
6676,27
6682,23
6688,24
6694,28
6699,32
6705,26
6711,22
6716,26
6722,27
6728,27
6733,25
6739,25
6745,25
6750,28
6756,29
6762,25
6767,24
6773,26
6779,30
6785,27
6790,22
6796,23
6802,27
6807,30
6813,26
6819,24
6824,25
6830,28
6836,29
6841,26
6847,23
6853,26
6859,27
6864,27
6870,22
6876,23
6881,24
6887,29
6893,26
6898,21
6904,23
6910,27
6915,28
6921,24
6927,21
6932,25
6938,28
6944,27
6949,24
6955,22
6961,25
6967,28
6972,26
6978,21
6984,24
6989,27
6995,28
7001,24
7006,23
7012,24
7018,26
7023,27
7029,22
7035,24
7040,25
7046,28
7052,25
7057,22
7063,24
7069,25
7075,29
7080,25
7086,23
7092,24
7097,26
7103,29
7109,26
7114,21
7120,23
7126,27
7131,27
7137,22
7143,22
7149,24
7154,28
7160,26
7166,21
7171,24
7177,25
7183,29
7188,25
7194,20
7200,22
7205,25
7211,28
7217,25
7223,22
7228,24
7234,26
7240,27
7245,25
7251,24
7257,24
7262,28
7268,27
7274,22
7279,23
7285,26
7291,28
7297,26
7302,20
7308,25
7314,27
7319,28
7325,26
7331,22
7336,26
7342,28
7348,29
7353,26
7359,25
7365,25
7371,29
7376,27
7382,22
7388,26
7393,27
7399,31
7405,27
7410,25
7416,24
7422,28
7427,28
7433,24
7439,23
7444,26
7450,30
7456,28
7461,22
7467,24
7473,28
7479,30
7484,27
7490,21
7496,24
7501,29
7507,28
7513,25
7518,23
7524,26
7530,28
7535,28
7541,26
7547,24
7552,26
7558,31
7564,27
7569,22
7575,24
7581,28
7587,29
7592,27
7598,23
7604,25
7609,27
7615,29
7621,26
7626,25
7632,27
7638,27
7643,29
7649,23
7655,24
7661,26
7666,31
7672,28
7678,21
7683,26
7689,27
7695,30
7700,25
7706,23
7712,26
7717,28
7723,29
7729,26
7735,23
7740,26
7746,30
7752,28
7757,24
7763,25
7769,27
7774,29
7780,28
7786,20
7791,25
7797,27
7803,28
7808,25
7814,22
7820,24
7826,28
7831,28
7837,25
7843,23
7848,25
7854,28
7860,27
7865,23
7871,23
7877,25
7882,29
7888,27
7894,19
7900,25
7905,27
7911,30
7917,26
7922,24
7928,25
7934,27
7939,26
7945,24
7951,24
7956,26
7962,29
7968,26
7973,20
7979,23
7985,25
7991,30
7996,25
8002,22
8008,23
8013,27
8019,27
8025,25
8030,23
8036,24
8042,28
8047,27
8053,21
8059,24
8064,25
8070,30
8076,24
8081,23
8087,24
8093,27
8099,28
8104,25
8110,22
8116,25
8121,26
8127,26
8133,22
8138,22
8144,24
8150,28
8155,26
8161,21
8167,23
8172,24
8178,30
8184,26
8190,20
8195,26
8201,26
8207,29
8212,23
8218,22
8224,25
8229,26
8235,28
8241,22
8246,23
8252,26
8258,26
8264,26
8269,21
8275,22
8281,26
8286,29
8292,24
8298,23
8303,25
8309,26
8315,28
8320,25
8326,24
8332,24
8338,28
8343,26
8349,22
8355,25
8360,26
8366,29
8372,26
8377,21
8383,25
8389,25
8394,31
8400,26
8406,23
8411,24
8417,27
8423,29
8429,25
8434,23
8440,26
8446,29
8451,27
8457,24
8463,25
8468,26
8474,30
8480,26
8485,24
8491,25
8497,29
8502,27
8508,24
8514,23
8519,26
8525,29
8531,29
8537,23
8542,25
8548,27
8554,32
8559,28
8565,22
8571,26
8576,27
8582,29
8588,25
8593,23
8599,27
8605,30
8610,29
8616,25
8622,24
8627,28
8633,31
8639,27
8645,23
8650,26
8656,29
8662,30
8667,26
8673,26
8679,27
8684,27
8690,28
8696,26
8701,24
8707,26
8713,28
8719,30
8724,23
8730,23
8736,28
8741,31
8747,28
8753,21
8758,24
8764,27
8770,29
8775,26
8781,23
8787,26
8793,28
8798,30
8804,25
8810,24
8815,25
8821,29
8827,27
8832,23
8838,23
8844,26
8849,28
8855,26
8861,23
8866,24
8872,26
8878,30
8884,26
8889,22
8895,24
8901,28
8906,28
8912,25
8918,22
8923,24
8929,27
8935,27
8940,24
8946,23
8952,26
8958,28
8963,26
8969,21
8975,24
8980,27
8986,29
8992,25
8997,23
9003,25
9009,28
9014,26
9020,23
9026,22
9031,25
9037,28
9043,27
9049,21
9054,22
9060,26
9066,29
9071,25
9077,21
9083,25
9088,27
9094,28
9100,22
9105,22
9111,25
9117,28
9122,27
9128,21
9134,23
9139,26
9145,29
9151,24
9157,21
9162,24
9168,27
9174,26
9179,23
9185,24
9191,25
9196,28
9202,27
9208,22
9213,23
9219,24
9225,28
9231,26
9236,21
9242,23
9248,24
9253,27
9259,25
9265,22
9270,24
9276,26
9282,28
9287,26
9293,22
9299,23
9305,26
9310,26
9316,25
9322,24
9327,26
9333,28
9339,26
9344,24
9350,24
9356,27
9361,29
9367,27
9373,24
9379,23
9384,26
9390,29
9396,24
9401,24
9407,25
9413,26
9418,28
9424,25
9430,24
9435,25
9441,28
9447,27
9452,24
9458,23
9464,26
9470,31
9475,26
9481,22
9487,25
9492,27
9498,28
9504,25
9509,25
9515,25
9521,27
9526,28
9532,25
9538,25
9543,27
9549,31
9555,26
9561,23
9566,25
9572,28
9578,29
9583,25
9589,25
9595,27
9600,29
9606,29
9612,26
9617,23
9623,27
9629,29
9634,29
9640,22
9646,25
9651,27
9657,28
9663,27
9669,22
9674,25
9680,29
9686,30
9691,24
9697,23
9703,26
9708,29
9714,27
9720,23
9725,25
9731,28
9737,31
9742,27
9748,23
9754,24
9760,28
9765,30
9771,25
9777,25
9782,26
9788,28
9794,29
9799,24
9805,24
9811,27
9816,30
9822,30
9828,24
9834,25
9839,27
9845,30
9851,28
9856,22
9862,25
9868,27
9873,29
9879,25
9885,24
9890,25
9896,28
9902,28
9908,25
9913,25
9919,26
9925,27
9930,28
9936,22
9942,25
9947,27
9953,31
9959,27
9964,21
9970,25
9976,27
9982,30
9987,24
9993,24
9999,25
10004,27
10010,28
10016,24
10021,23
10027,24
10033,25
10039,30
10044,27
10050,20
10056,23
10062,26
10067,28
10073,26
10079,24
10085,24
10090,24
10096,27
10102,28
10108,24
10113,22
10119,23
10125,25
10131,27
10136,25
10142,20
10148,24
10153,26
10159,28
10165,26
10171,22
10176,23
10182,26
10188,26
10194,27
10199,24
10205,22
10211,23
10217,26
10222,28
10228,25
10234,22
10240,23
10245,24
10251,27
10257,26
10263,24
10268,22
10274,23
10280,26
10286,29
10291,25
10297,20
10303,24
10308,27
10314,26
10320,27
10326,23
10331,23
10337,25
10343,27
10349,29
10354,25
10360,20
10366,22
10372,25
10377,28
10383,27
10389,23
10395,22
10400,24
10406,26
10412,27
10418,25
10423,24
10429,24
10435,26
10441,28
10446,26
10452,22
10458,22
10464,24
10469,28
10475,28
10481,25
10487,24
10492,24
10498,27
10504,30
10510,27
10515,21
10521,24
10527,26
10532,28
10538,26
10544,23
10550,23
10555,26
10561,29
10567,28
10573,25
10578,24
10584,25
10590,27
10596,28
10601,26
10607,22
10613,24
10619,27
10624,31
10630,28
10636,23
10641,24
10647,26
10653,29
10659,29
10664,26
10670,24
10676,25
10682,28
10687,28
10693,28
10699,23
10705,26
10710,27
10716,31
10722,28
10728,23
10733,25
10739,28
10745,29
10750,30
10756,26
10762,23
10768,25
10773,27
10779,31
10785,28
10791,23
10796,25
10802,26
10808,28
10814,30
10819,27
10825,25
10831,25
10837,29
10842,30
10848,27
10854,21
10860,25
10865,26
10871,29
10877,29
10883,25
10888,22
10894,25
10900,29
10906,30
10911,27
10917,22
10923,24
10929,28
10934,31
10940,27
10946,22
10952,23
10957,26
10963,28
10969,28
10974,24
10980,24
10986,24
10992,28
10997,30
11003,26
11009,20
11015,23
11020,27
11026,29
11032,28
11038,22
11043,23
11049,26
11055,27
11061,27
11066,24
11072,21
11078,24
11084,27
11089,29
11095,27
11101,21
11106,23
11112,25
11118,29
11124,27
11129,23
11135,23
11141,26
11147,26
11152,27
11158,23
11164,23
11170,23
11175,25
11181,28
11187,25
11193,20
11198,22
11204,25
11210,28
11216,27
11221,22
11227,23
11233,23
11238,27
11244,27
11250,24
11256,20
11261,23
11267,26
11273,30
11279,25
11284,21
11290,22
11296,24
11302,27
11307,27
11313,22
11319,22
11325,23
11330,25
11336,27
11342,24
11348,22
11353,22
11359,24
11365,29
11371,27
11376,23
11382,22
11388,25
11394,26
11399,29
11405,24
11411,23
11416,23
11422,25
11428,29
11434,26
11439,22
11445,23
11451,26
11457,27
11462,27
11468,23
11474,21
11480,25
11485,25
11491,28
11497,26
11503,23
11508,25
11514,27
11520,29
11526,28
11531,23
11537,24
11543,25
11549,29
11554,30
11560,25
11566,23
11571,25
11577,27
11583,30
11589,26
11594,20
11600,24
11606,27
11612,28
11617,28
11623,24
11629,24
11635,26
11640,29
11646,28
11652,25
11658,22
11663,25
11669,28
11675,30
11680,26
11686,22
11692,25
11698,28
11703,28
11709,28
11715,25
11721,23
11726,26
11732,29
11738,30
11744,27
11749,22
11755,24
11761,26
11767,31
11772,28
11778,23
11784,25
11790,26
11795,29
11801,29
11807,24
11813,24
11818,27
11824,28
11830,29
11835,27
11841,22
11847,24
11853,27
11858,31
11864,30
11870,25
11876,23
11881,25
11887,28
11893,28
11899,27
11904,23
11910,24
11916,27
11922,30
11927,28
11933,25
11939,23
11945,27
11950,30
11956,29
11962,25
11968,23
11973,25
11979,27
11985,31
11991,26
11996,24
12002,25
12008,25
12014,29
12019,29
12025,24
12031,22
12037,24
12042,27
12048,30
12054,26
12060,20
12065,26
12071,26
12077,29
12082,27
12088,24
12094,23
12100,24
12105,28
12111,28
12117,26
12123,23
12128,25
12134,25
12140,27
12146,26
12151,22
12157,22
12163,25
12169,29
12174,27
12180,22
12186,22
12192,25
12197,27
12203,28
12209,25
12214,22
12220,24
12226,27
12232,29
12237,26
12243,21
12249,24
12255,24
12260,27
12266,27
12272,23
12278,23
12283,24
12289,26
12295,29
12300,25
12306,23
12312,23
12318,27
12323,30
12329,25
12335,22
12341,24
12346,25
12352,27
12358,27
12364,22
12369,23
12375,24
12381,27
12387,26
12392,23
12398,22
12404,22
12410,26
12415,28
12421,25
12427,22
12433,22
12438,25
12444,27
12450,27
12456,26
12461,22
12467,23
12473,26
12479,30
12484,25
12490,21
12496,24
12501,26
12507,28
12513,27
12519,25
12524,22
12530,23
12536,27
12542,29
12547,25
12553,21
12559,23
12565,27
12570,29
12576,27
12582,23
12588,24
12593,26
12599,28
12605,29
12611,26
12616,24
12622,25
12628,28
12634,30
12639,27
12645,23
12651,23
12656,27
12662,30
12668,29
12674,23
12679,23
12685,25
12691,27
12697,30
12702,25
12708,23
12714,26
12720,27
12725,30
12731,28
12737,24
12743,23
12748,28
12754,29
12760,30
12766,24
12771,25
12777,26
12783,28
12788,28
12794,26
12800,25
12806,24
12811,27
12817,31
12823,28
12829,20
12834,25
12840,26
12846,31
12852,27
12857,24
12863,23
12869,27
12875,28
12880,29
12886,27
12892,25
12898,25
12903,28
12909,32
12915,28
12920,23
12926,25
12932,27
12938,28
12943,27
12949,27
12955,25
12961,24
12966,29
12972,31
12978,27
12984,21
12989,24
12995,25
13001,29
13007,28
13012,26
13018,22
13024,26
13030,27
13035,29
13041,26
13047,24
13053,24
13058,27
13064,28
13070,27
13076,24
13081,23
13087,27
13093,30
13099,29
13104,26
13110,22
13116,25
13121,27
13127,29
13133,27
13139,21
13144,23
13150,27
13156,28
13162,27
13167,22
13173,23
13179,25
13185,26
13190,26
13196,24
13202,23
13208,25
13213,27
13219,28
13225,26
13231,22
13236,23
13242,25
13248,29
13253,26
13259,24
13265,22
13271,24
13276,26
13282,29
13288,24
13294,22
13299,24
13305,26
13311,30
13317,24
13322,20
13328,22
13334,24
13340,28
13345,26
13351,22
13357,24
13362,24
13368,26
13374,28
13380,25
13385,23
13391,24
13397,25
13403,30
13408,26
13414,21
13420,22
13426,24
13431,26
13437,27
13443,24
13449,22
13454,24
13460,27
13466,27
13472,27
13477,20
13483,24
13489,24
13495,28
13500,26
13506,23
13512,24
13518,23
13523,27
13529,28
13535,24
13541,22
13546,25
13552,27
13558,30
13563,27
13569,23
13575,23
13581,24
13586,29
13592,28
13598,24
13604,23
13609,25
13615,27
13621,29
13627,25
13632,20
13638,23
13644,27
13650,27
13655,27
13661,23
13667,24
13673,25
13678,29
13684,29
13690,24
13696,24
13701,24
13707,27
