Time,Light
6491,49
6497,46
6503,46
6508,44
6514,47
6520,50
6525,48
6531,44
6537,45
6542,49
6548,49
6554,47
6560,44
6565,45
6571,51
6577,49
6582,47
6588,44
6594,47
6599,51
6605,48
6611,45
6616,44
6622,47
6628,50
6634,47
6639,43
6645,43
6651,48
6656,48
6662,45
6668,42
6673,44
6679,48
6685,47
6690,44
6696,42
6702,44
6708,48
6713,45
6719,42
6725,40
6730,43
6736,47
6742,43
6747,38
6753,40
6759,44
6764,44
6770,42
6776,37
6782,39
6787,41
6793,42
6799,39
6804,35
6810,39
6816,42
6821,41
6827,36
6833,35
6838,36
6844,39
6850,38
6856,32
6861,34
6867,36
6873,39
6878,35
6884,31
6890,34
6895,36
6901,37
6907,32
6912,32
6918,34
6924,34
6929,34
6935,29
6941,32
6947,31
6952,34
6958,32
6964,30
6969,30
6975,32
6981,34
6986,30
6992,29
6998,31
7003,29
7009,33
7015,27
7020,27
7026,29
7032,29
7038,32
7043,26
7049,29
7055,30
7060,31
7066,29
7072,27
7077,27
7083,30
7089,32
7094,29
7100,28
7106,28
7112,30
7117,33
7123,26
7129,27
7134,28
7140,30
7146,29
7151,27
7157,29
7163,30
7168,31
7174,31
7180,28
7186,29
7191,31
7197,34
7203,31
7208,31
7214,32
7220,34
7225,35
7231,32
7237,29
7243,32
7248,35
7254,36
7260,31
7265,31
7271,34
7277,38
7282,36
7288,31
7294,34
7299,35
7305,40
7311,36
7316,33
7322,35
7328,39
7334,41
7339,38
7345,36
7351,38
7356,41
7362,42
7368,39
7373,37
7379,40
7385,44
7390,42
7396,38
7402,40
7408,43
7413,45
7419,43
7425,37
7430,41
7436,45
7442,46
7447,44
7453,41
7459,43
7464,47
7470,46
7476,43
7481,41
7487,45
7493,47
7499,45
7504,44
7510,44
7516,49
7521,49
7527,48
7533,41
7538,46
7544,49
7550,49
7555,46
7561,42
7567,47
7572,50
7578,49
7584,46
7590,43
7595,48
7601,50
7607,47
7612,45
7618,43
7624,49
7629,50
7635,47
7641,44
7646,45
7652,49
7658,48
7664,46
7669,41
7675,45
7681,50
7686,49
7692,44
7698,42
7703,46
7709,50
7715,46
7721,44
7726,43
7732,46
7738,48
7743,46
7749,41
7755,42
7760,45
7766,46
7772,44
7777,38
7783,41
7789,45
7795,44
7800,40
7806,37
7812,42
7817,44
7823,43
7829,39
7834,38
7840,40
7846,43
7851,41
7857,35
7863,37
7869,39
7874,41
7880,38
7886,35
7891,35
7897,38
7903,39
7908,36
7914,34
7920,34
7925,38
7931,35
7937,32
7942,33
7948,35
7954,36
7960,35
7965,31
7971,32
7977,33
7982,35
7988,32
7994,30
7999,32
8005,32
8011,34
8016,29
8022,30
8028,31
8034,32
8039,33
8045,28
8051,29
8056,30
8062,31
8068,30
8073,27
8079,30
8085,29
8090,31
8096,28
8102,27
8107,29
8113,29
8119,32
8125,27
8130,27
8136,29
8142,30
8147,30
8153,27
8159,28
8164,30
8170,31
8176,29
8181,28
8187,29
8193,29
8199,31
8204,28
8210,29
8216,29
8221,32
8227,34
8233,27
8238,29
8244,32
8250,33
8255,33
8261,29
8267,30
8273,32
8278,35
8284,33
8290,31
8295,33
8301,36
8307,38
8312,33
8318,32
8324,34
8329,36
8335,38
8341,33
8346,34
8352,37
8358,39
8364,38
8369,34
8375,35
8381,37
8386,41
8392,41
8398,36
8403,36
8409,39
8415,43
8421,41
8426,36
8432,39
8438,43
8443,43
8449,41
8455,38
8460,42
8466,45
8472,44
8477,40
8483,40
8489,45
8494,46
8500,43
8506,40
8511,42
8517,46
8523,47
8529,46
8534,39
8540,44
8546,49
8551,47
8557,44
