Time,Light
1006,22
1012,26
1017,20
1023,19
1029,22
1034,24
1040,25
1046,23
1051,22
1057,24
1063,27
1069,26
1074,23
1080,24
1086,25
1091,29
1097,27
1103,23
1108,25
1114,30
1120,30
1125,27
1131,25
1137,28
1142,34
1148,29
1154,26
1159,27
1165,30
1171,34
1176,31
1182,26
1188,28
1193,33
1199,32
1205,31
1211,29
1216,33
1222,35
1228,34
1233,30
1239,32
1245,34
1250,36
1256,34
1262,31
1267,33
1273,37
1279,35
1284,33
1290,30
1296,36
1301,38
1307,34
1313,31
1319,31
1324,35
1330,36
1336,35
1341,31
1347,32
1353,38
1358,35
1364,34
1370,29
1375,33
1381,37
1387,35
1392,30
1398,32
1404,34
1410,37
1415,33
1421,30
1427,31
1432,34
1438,34
1444,31
1449,27
1455,32
1461,34
1466,33
1472,29
1478,29
1483,31
1489,34
1495,32
1501,27
1506,28
1512,31
1518,31
1523,28
1529,25
1535,27
1540,29
1546,28
1552,24
1557,23
1563,25
1569,30
1574,26
1580,21
1586,24
1592,23
1597,26
1603,24
1609,20
1614,21
1620,24
1626,25
1631,22
1637,20
1643,20
1648,22
1654,20
1660,17
1665,19
1671,21
1677,23
1682,19
1688,16
1694,17
1699,19
1705,20
1711,14
1716,15
1722,16
1728,18
1734,17
1739,14
1745,14
1751,15
1756,16
1762,14
1768,14
1773,14
1779,17
1785,18
1790,11
1796,11
1802,14
1807,15
1813,16
1819,12
1824,12
1830,13
1836,15
1841,11
1847,12
1853,13
1859,14
1864,18
1870,11
1876,13
1881,14
1887,14
1893,16
1898,12
1904,15
1910,14
1915,16
1921,16
1927,12
1933,16
1938,16
1944,19
1950,16
1955,14
1961,15
1967,19
1972,18
1978,13
1984,17
1989,17
1995,19
2001,18
2006,15
2012,17
2018,20
2023,22
2029,18
2035,17
2041,19
2046,22
2052,22
2058,20
2063,20
2069,23
2075,26
2080,24
2086,20
2092,21
2097,24
2103,29
2109,26
2114,21
2120,22
2126,26
2132,28
2137,24
2143,25
2149,26
2154,31
2160,29
2166,26
2171,27
2177,28
2183,33
2188,29
2194,25
2200,28
2205,32
2211,34
2217,29
2222,26
2228,31
2234,34
2240,32
2245,31
2251,29
2257,33
2262,35
2268,32
2274,29
2279,33
2285,34
2291,34
2296,32
2302,29
2308,33
2313,37
2319,34
2325,33
2330,31
2336,36
2342,36
2347,35
2353,31
2359,33
2365,36
2370,36
2376,34
2382,30
2387,33
2393,39
2399,36
2404,32
2410,31
2416,34
2421,38
2427,34
2433,30
2439,30
2444,33
2450,37
2456,33
2461,31
2467,30
2473,34
2478,34
2484,33
2490,29
2495,30
2501,35
2507,34
2512,29
2518,29
2524,31
2530,34
2535,30
2541,27
2547,27
2552,31
2558,31
2564,29
2569,26
2575,26
2581,32
2586,31
2592,27
2598,25
2603,26
2609,29
2615,26
2621,24
2626,23
2632,25
2638,29
2643,23
2649,20
2655,20
2660,24
2666,28
2672,20
2677,20
2683,21
2689,23
2694,23
2700,18
2706,18
2711,19
2717,22
2723,19
2729,16
2734,16
2740,18
2746,21
2751,16
2757,17
2763,16
2768,20
2774,18
2780,14
