Time,Light
2043,28
2050,31
2057,29
2064,29
2071,32
2078,29
2085,35
2092,31
2099,35
2106,30
2113,33
2120,33
2127,32
2134,36
2141,32
2148,38
2155,33
2162,36
2169,36
2176,34
2183,39
2190,32
2197,41
2204,36
2211,39
2218,37
2225,40
2232,41
2239,36
2246,43
2253,37
2260,44
2267,39
2274,42
2281,40
2288,40
2295,46
2302,37
2309,45
2316,39
2323,43
2330,40
2337,41
2344,46
2351,39
2358,45
2365,37
2372,43
2379,42
2386,41
2393,42
2400,40
2407,45
2414,36
2421,43
2428,39
2435,41
2442,41
2449,42
2456,42
2463,37
2470,44
2477,37
2484,43
2491,39
2498,40
2505,40
2512,38
2519,43
2526,35
2533,41
2540,37
2547,37
2554,38
2561,35
2568,38
2576,32
2583,39
2590,33
2597,37
2604,33
2611,34
2618,35
2625,31
2632,35
2639,32
2646,37
2653,29
2660,33
2667,32
2674,27
2681,31
2688,26
2695,33
2702,27
2709,30
2716,29
2723,27
2730,29
2737,25
2744,29
2751,25
2758,28
2765,26
2772,25
2779,26
2786,24
2793,26
2800,23
2807,26
2814,24
2821,26
2828,24
2835,21
2842,25
2849,23
2856,25
2863,22
2870,24
2877,24
2884,20
2891,24
2898,21
2905,23
2912,23
2919,25
2926,23
2933,23
2940,23
2947,21
2954,25
2961,23
2968,26
2975,22
2982,25
2989,26
2996,24
3003,25
3010,22
3017,27
3024,25
3031,31
3038,24
3045,26
3052,26
3059,24
3066,28
3073,26
3080,32
3087,27
3094,32
3101,30
3108,28
3115,32
3122,27
3129,35
3136,30
3143,34
3150,30
3157,35
3164,35
3171,34
3178,38
3185,32
3192,39
3199,34
3206,38
3213,36
3220,37
3227,39
3235,36
3242,44
3249,34
3256,40
3263,37
3270,39
3277,41
3284,36
3291,42
3298,35
3305,43
3312,39
3319,40
3326,42
3333,41
3340,45
3347,36
3354,43
3361,39
3368,43
3375,42
3382,41
3389,45
3396,38
3403,44
3410,39
3417,42
3424,41
3431,41
3438,43
3445,40
3452,46
3459,38
3466,44
3473,40
3480,41
3487,41
3494,41
3501,42
3508,37
3515,44
3522,37
3529,42
3536,39
3543,41
3550,41
3557,38
3564,40
3571,34
3578,42
3585,36
3592,38
3599,37
3606,38
3613,39
3620,33
3627,41
3634,32
3641,37
3648,33
3655,34
3662,34
3669,30
3676,34
3683,29
3690,38
3697,30
3704,34
3711,32
3718,29
3725,30
3732,27
3739,32
3746,28
3753,31
3760,29
3767,29
3774,30
3781,25
3788,28
3795,25
3802,30
3809,25
3816,28
3823,26
3830,24
3837,29
3844,23
3851,28
3858,24
3865,27
3872,23
3879,23
3886,25
3893,22
3900,25
3907,24
3914,29
3921,24
3928,24
3935,23
3942,22
3949,25
3956,24
3963,27
3971,25
3978,27
3985,25
3992,22
3999,26
4006,24
4013,27
4020,23
4027,30
4034,26
4041,25
4048,26
4055,25
4062,30
4069,26
4076,31
4083,27
4090,30
4097,28
4104,27
4111,30
4118,28
4125,34
4132,28
4139,33
4146,31
4153,34
4160,35
4167,30
4174,37
4181,33
4188,38
4195,36
4202,38
4209,37
4216,35
4223,39
4230,34
4237,44
4244,37
4251,41
4258,39
4265,40
4272,42
4279,36
4286,45
4293,36
4300,44
4307,41
4314,43
4321,44
4328,41
4335,46
4342,38
4349,45
4356,40
4363,45
4370,42
4377,44
4384,47
4391,42
4398,48
4405,40
4412,46
4419,43
4426,44
4433,46
4440,43
4447,50
4454,40
4461,48
4468,44
4475,47
4482,45
4489,44
4496,49
4503,41
4510,48
4517,41
4524,46
4531,42
4538,45
4545,46
4552,42
4559,49
4566,38
4573,45
4580,41
4587,43
4594,41
4602,40
4609,45
4616,38
4623,45
4630,38
4637,43
4644,41
4651,40
4658,41
4665,38
4672,43
4679,35
4686,41
4693,38
4700,40
4707,37
4714,36
4721,38
4728,33
4735,38
4742,33
4749,37
4756,33
4763,34
4770,35
4777,29
4784,35
4791,30
4798,37
4805,32
4812,33
4819,32
4826,27
4833,31
4840,29
4847,32
4854,29
4861,30
4868,30
4875,27
4882,30
4889,27
4896,32
4903,27
4910,34
4917,27
4924,27
4931,27
4938,24
4945,30
4952,24
4959,29
4966,25
4973,29
4980,28
4987,24
4994,28
5001,24
5008,29
5015,26
5022,31
5029,27
5036,27
5043,29
5050,26
5057,30
5064,26
5071,29
5078,28
5085,29
5092,27
5099,27
5106,29
5113,27
5120,30
5127,30
5134,35
5141,31
5148,32
5155,32
5162,29
5169,33
