Time,Light
4597,44
4602,44
4608,44
4614,44
4619,44
4625,44
4631,43
4637,43
4642,42
4648,43
4654,42
4659,42
4665,42
4671,42
4677,41
4682,41
4688,41
4694,40
4699,40
4705,40
4711,40
4717,39
4722,39
4728,38
4734,38
4739,38
4745,38
4751,38
4756,37
4762,37
4768,37
4774,37
4779,36
4785,36
4791,35
4796,35
4802,35
4808,34
4813,34
4819,34
4825,34
4831,33
4836,33
4842,33
4848,33
4853,32
4859,32
4865,32
4870,32
4876,31
4882,31
4888,31
4893,31
4899,30
4905,30
4910,30
4916,30
4922,29
4927,30
4933,30
4939,30
4945,29
4950,29
4956,29
4962,29
4967,29
4973,29
4979,29
4985,28
4990,28
4996,28
5002,28
5007,28
5013,28
5019,28
5024,28
5030,29
5036,29
5042,29
5047,29
5053,29
5059,29
5064,29
5070,29
5076,29
5082,29
5087,30
5093,30
5099,30
5104,30
5110,30
5116,30
5122,30
5127,31
5133,31
5139,31
5144,31
5150,31
5156,32
5162,32
5167,32
5173,32
5179,33
5184,33
5190,33
5196,33
5201,34
5207,34
5213,34
5219,35
5224,35
5230,36
5236,36
5241,36
5247,37
5253,37
5259,37
5264,37
5270,38
5276,38
5281,38
5287,38
5293,39
5298,39
5304,40
5310,40
5316,40
5321,40
5327,41
5333,41
5338,41
5344,41
5350,41
5355,42
5361,42
5367,42
5373,42
5378,43
5384,43
5390,43
5395,44
5401,44
5407,44
5413,44
5418,45
5424,45
5430,45
5435,45
5441,45
5447,45
5452,45
5458,45
5464,45
5470,46
5475,46
5481,46
5487,46
5492,46
5498,46
5504,46
5509,46
5515,46
5521,46
5527,46
5532,47
5538,46
5544,46
5549,46
5555,46
5561,46
5567,46
5572,46
5578,46
5584,46
5589,46
5595,46
5601,46
5607,46
5612,46
5618,45
5624,45
5629,45
5635,45
5641,45
5646,44
5652,44
5658,44
5664,43
5669,43
5675,43
5681,43
5686,43
5692,43
5698,42
5704,42
5709,41
5715,41
5721,41
5726,41
5732,41
5738,40
5743,40
5749,40
5755,40
5761,40
5766,39
5772,39
5778,39
5783,38
5789,38
5795,38
5801,38
5806,37
5812,37
5818,37
5823,36
5829,36
5835,36
5840,36
5846,35
5852,35
5858,35
5863,34
5869,34
5875,34
5880,33
5886,33
5892,33
5897,32
5903,32
5909,32
5915,32
5920,32
5926,31
5932,31
5937,31
5943,30
5949,30
5954,30
5960,30
5966,30
5972,30
5977,29
5983,29
5989,29
5994,29
6000,29
6006,29
6011,29
6017,28
6023,28
6029,28
6034,28
6040,28
6046,28
6051,28
6057,28
6063,28
6069,28
6074,28
6080,28
6086,28
6091,28
6097,28
6103,28
6108,28
6114,29
6120,29
6126,29
6131,29
6137,29
6143,29
6148,29
6154,29
6160,30
6166,30
6171,30
6177,30
6183,30
6188,31
6194,31
6200,31
6206,31
6211,32
6217,32
6223,32
6228,33
6234,33
6240,33
6245,34
6251,34
6257,35
6263,35
6268,35
6274,35
6280,35
6285,36
6291,36
6297,36
6303,37
6308,37
6314,37
6320,38
6325,38
6331,38
6337,38
6343,39
6348,39
6354,39
6360,40
6365,40
6371,40
6377,40
6382,41
6388,41
6394,42
6400,42
6405,42
6411,42
6417,43
6422,43
6428,44
6434,43
6439,43
6445,44
6451,44
6457,44
6462,44
6468,44
6474,45
6479,45
6485,45
6491,45
6496,45
6502,46
6508,46
6514,46
6519,46
6525,46
6531,46
6536,46
6542,46
6548,46
6553,46
6559,46
6565,46
6571,46
6576,46
6582,46
6588,46
6593,46
6599,46
6605,46
6611,46
6616,46
6622,45
6628,45
6633,45
6639,45
6645,45
6650,45
6656,45
6662,45
6668,45
6673,45
6679,45
6685,45
6690,44
6696,44
6702,44
6708,44
6713,44
6719,44
6725,44
6730,43
6736,43
6742,43
6747,43
6753,42
6759,42
6765,42
6770,42
6776,41
6782,41
6787,41
6793,41
6799,40
6805,40
6810,40
6816,39
6822,39
6827,39
6833,38
6839,38
6844,38
6850,37
6856,37
6862,37
6867,37
6873,37
6879,36
6884,36
6890,36
6896,35
6901,35
6907,35
6913,34
6919,34
6924,34
6930,33
6936,33
6941,32
6947,32
6953,32
6959,32
6964,32
6970,31
6976,31
6981,31
6987,31
6993,30
6998,30
7004,30
7010,29
7016,29
7021,29
7027,29
7033,29
7038,29
7044,29
7050,29
7055,28
7061,28
7067,29
7073,29
7078,28
7084,28
7090,28
7095,28
7101,28
7107,28
7112,28
7118,28
7124,28
7130,28
7135,28
7141,28
7147,28
7152,28
7158,29
7164,29
7170,29
7175,29
7181,29
7187,29
7192,29
7198,29
7204,29
7210,30
7215,30
7221,30
7227,30
7232,31
7238,31
7244,31
7250,31
7255,32
7261,32
7267,32
7272,32
7278,32
7284,33
7289,33
7295,34
7301,34
7307,34
7312,35
7318,35
7324,35
7329,36
7335,36
7341,37
7347,37
7352,37
7358,38
7364,38
7369,38
7375,38
7381,39
7386,39
7392,39
7398,39
7404,39
7409,40
7415,40
7421,41
7426,41
7432,41
7438,41
7443,42
7449,42
7455,42
7461,43
7466,43
7472,43
7478,43
7483,43
7489,43
7495,44
7500,44
7506,44
7512,44
7518,44
7523,45
7529,45
7535,45
7540,45
7546,45
7552,46
7557,46
7563,46
7569,46
7575,46
7580,46
7586,46
7592,46
7597,46
7603,47
7609,46
7615,46
7620,46
7626,46
7632,46
7637,46
7643,46
7649,46
7654,46
7660,46
7666,46
7672,46
7677,46
7683,46
7689,46
7694,46
7700,45
7706,45
7712,45
7717,45
7723,45
7729,45
7734,45
7740,45
7746,44
7751,44
7757,44
7763,44
7769,44
7774,43
7780,43
7786,43
7791,43
7797,43
7803,42
7809,42
7814,41
7820,41
7826,41
7831,41
7837,40
7843,40
7849,39
7854,39
7860,39
7866,38
7871,38
7877,38
7883,38
7888,37
7894,37
7900,37
7906,37
7911,36
7917,36
7923,36
7928,36
7934,35
7940,35
7945,35
7951,34
7957,34
7963,34
7968,34
7974,33
7980,33
7985,33
7991,33
7997,32
8003,32
8008,32
8014,31
8020,31
8025,31
8031,31
8037,31
8042,30
8048,30
8054,30
8060,29
8065,29
8071,29
8077,29
8082,29
8088,28
8094,28
8099,28
8105,28
8111,28
8117,28
8122,28
8128,28
8134,28
8139,28
8145,28
8151,28
8156,28
8162,28
8168,28
8174,28
8179,28
8185,29
8191,28
8196,29
8202,28
8208,28
8214,29
8219,29
8225,29
8231,29
8236,29
8242,30
8248,30
8254,30
8259,31
8265,31
8271,31
8276,32
8282,32
8288,32
8293,32
8299,32
8305,32
8311,33
8316,33
8322,33
8328,33
8333,33
8339,34
8345,34
8351,34
8356,34
8362,35
8368,35
8373,35
8379,36
8385,36
8391,36
8396,36
8402,37
8408,37
8413,37
8419,38
8425,38
8430,39
