Time,Analog
99,683
100,663
101,521
103,412
104,326
105,258
106,392
107,516
108,612
109,689
110,649
111,511
112,403
113,319
115,254
116,405
117,524
118,619
119,696
120,636
121,501
122,396
123,312
124,262
126,415
128,533
129,626
130,702
131,623
132,490
133,387
134,307
135,278
136,426
137,541
139,634
140,707
141,611
142,480
143,381
144,302
145,294
146,438
147,550
148,641
149,712
151,599
152,473
153,373
154,295
155,307
156,447
157,559
158,648
159,717
160,588
162,463
163,365
164,289
165,320
166,458
167,567
168,654
169,724
171,575
172,453
173,359
175,284
176,335
177,468
178,574
179,659
180,727
181,563
182,444
183,351
184,279
185,347
187,479
188,585
