Time,Analog
99,741
100,763
101,601
103,476
104,377
105,299
106,238
107,229
108,384
109,507
110,605
111,683
112,748
113,743
115,586
116,463
117,367
118,291
119,231
120,249
121,400
122,519
123,615
124,691
126,753
128,722
129,569
130,451
131,358
132,284
133,224
134,270
135,415
136,531
137,623
139,699
140,759
141,703
142,555
143,440
144,349
145,276
146,219
147,288
148,428
149,541
151,634
152,707
153,766
154,686
155,542
156,429
157,341
158,270
159,214
160,304
162,442
163,552
164,642
165,714
166,772
167,667
168,526
169,418
171,331
172,262
173,210
175,322
176,457
177,565
178,651
179,720
180,778
181,648
182,513
183,407
184,321
185,256
187,204
188,342
