Time,Analog
99,653
100,512
101,405
103,319
104,253
105,293
106,435
107,550
108,640
109,713
110,720
111,566
112,446
113,352
115,278
116,220
117,381
118,507
119,606
120,685
121,749
122,624
123,492
124,388
126,306
128,243
129,324
130,460
131,569
132,656
133,726
134,687
135,539
136,425
137,337
139,267
140,258
141,409
142,529
143,622
144,697
145,760
146,595
147,468
148,370
149,291
151,231
152,356
153,485
154,587
155,671
156,738
157,653
158,515
159,405
160,321
162,253
163,292
164,436
165,550
166,640
167,713
168,720
169,565
171,444
172,353
173,279
175,219
176,383
177,507
178,605
179,686
180,750
181,623
182,491
183,387
184,306
185,243
187,324
188,460
