Time,Analog
99,260
100,205
101,164
103,263
104,408
105,524
106,618
107,695
108,756
109,804
110,798
111,633
112,502
113,400
115,316
116,251
117,201
118,158
119,284
120,424
121,539
122,630
123,704
124,764
126,812
128,773
129,613
130,487
131,387
132,307
133,242
134,193
135,155
136,307
137,443
139,551
140,641
141,713
142,772
143,817
144,747
145,593
146,471
147,375
148,297
149,236
151,187
152,161
153,329
154,460
155,567
156,653
157,722
158,778
159,824
160,722
162,574
163,455
164,362
165,286
166,227
167,182
168,190
169,350
171,477
172,580
173,663
175,731
176,785
177,830
178,700
179,555
180,441
181,349
182,278
183,220
184,176
185,213
187,369
188,492
