Time,Analog
103,284
104,285
105,285
106,285
107,284
108,284
109,284
110,0
111,0
112,0
113,0
115,0
116,0
117,0
118,0
119,284
120,284
121,284
122,284
123,284
124,284
126,284
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,284
137,284
139,285
140,284
141,284
142,285
143,284
144,0
145,0
146,0
147,0
148,0
149,0
151,0
152,287
153,284
154,285
155,285
156,285
157,284
158,284
159,284
160,0
162,0
163,0
164,0
165,0
166,0
167,0
168,285
169,285
171,285
172,284
173,285
175,284
176,284
177,284
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,285
187,284
188,284
5786,0
5787,0
5788,0
5789,0
5790,0
5791,0
5792,0
5793,0
